_ts,@timestamp,TimeCreated,EventID,Hostname,Channel,Level,Task,Keywords,ProviderGuid,SourceName,UtcTime,ProcessGuid,ProcessId,Image,CommandLine,CurrentDirectory,SubjectUserName,Hashes,ParentProcessGuid,ParentProcessId,ParentImage,ParentCommandLine,IntegrityLevel,SubjectLogonId,LogonGuid,TerminalSessionId,TargetFilename,CreationUtcTime,EventType,TargetObject,Details,NewName,Protocol,Initiated,SourceIsIpv6,SourceIp,SourceHostname,SourcePort,SourcePortName,DestinationIsIpv6,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName,ImageLoaded,Signed,Signature,SignatureStatus,Company,Product,Description,FileVersion,OriginalFileName,SourceProcessGuid,SourceProcessId,SourceThreadId,SourceImage,TargetProcessGuid,TargetProcessId,TargetImage,GrantedAccess,CallTrace,PipeName,QueryName,QueryStatus,QueryResults,RuleName,ClientId,_Source
1.78169E+12,,,,,,,,,,,2026-06-17 9:51:17, {f4ba3e13-6e14-6a32-c200-000000002400},3096,C:\Windows\System32\svchost.exe,svchost.exe -k netsvcs,C:\Windows\system32\,NT AUTHORITY\SYSTEM,"MD5=36F670D89040709013F6A460176767EC,SHA256=438B6CCD84F4DD32D9684ED7D58FD7D1E5A75FE3F3D12AB6C788E6BB0FFAD5E7,IMPHASH=2CED93915677390B76EE1916B92F3EF6", {f4ba3e13-6df5-6a32-c100-000000002400},4888,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,System,0x3E7, {f4ba3e13-6880-6a32-e703-000000000000},0,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Host Process for Windows Services,10.0.14393.0 (rs1_release.160715-1616),svchost.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:51:17, {f4ba3e13-6df5-6a32-c100-000000002400},4888,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:54:17, {f4ba3e13-6ec8-6a32-c400-000000002400},4140,C:\Windows\System32\svchost.exe,svchost.exe -k netsvcs,C:\Windows\system32\,NT AUTHORITY\SYSTEM,"MD5=36F670D89040709013F6A460176767EC,SHA256=438B6CCD84F4DD32D9684ED7D58FD7D1E5A75FE3F3D12AB6C788E6BB0FFAD5E7,IMPHASH=2CED93915677390B76EE1916B92F3EF6", {f4ba3e13-6ea9-6a32-c300-000000002400},388,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,System,0x3E7, {f4ba3e13-6880-6a32-e703-000000000000},0,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Host Process for Windows Services,10.0.14393.0 (rs1_release.160715-1616),svchost.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:54:17, {f4ba3e13-6ea9-6a32-c300-000000002400},388,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:57:17, {f4ba3e13-6f7c-6a32-c600-000000002400},3428,C:\Windows\System32\svchost.exe,svchost.exe -k netsvcs,C:\Windows\system32\,NT AUTHORITY\SYSTEM,"MD5=36F670D89040709013F6A460176767EC,SHA256=438B6CCD84F4DD32D9684ED7D58FD7D1E5A75FE3F3D12AB6C788E6BB0FFAD5E7,IMPHASH=2CED93915677390B76EE1916B92F3EF6", {f4ba3e13-6f5d-6a32-c500-000000002400},4752,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,System,0x3E7, {f4ba3e13-6880-6a32-e703-000000000000},0,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Host Process for Windows Services,10.0.14393.0 (rs1_release.160715-1616),svchost.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:57:17, {f4ba3e13-6f5d-6a32-c500-000000002400},4752,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:58:19, {f4ba3e13-6fbb-6a32-c700-000000002400},1172,C:\Program Files\Windows Defender\MpCmdRun.exe,"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" SignatureUpdate -ScheduleJob -RestrictPrivileges",C:\Windows\system32\,NT AUTHORITY\SYSTEM,"MD5=C37ADF3801F599EDF3180354BBAB2560,SHA256=1C90A322F55D574EF703B9CB0ADFB379CEFA33A2B5D72F04A6E9AAA2F209F6B5,IMPHASH=5F980D25420E31451E189C1082EF5045", {f4ba3e13-689c-6a32-2200-000000002400},1180,C:\Program Files\Windows Defender\MsMpEng.exe,"""C:\Program Files\Windows Defender\MsMpEng.exe""",System,0x3E7, {f4ba3e13-6880-6a32-e703-000000000000},0,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Microsoft Malware Protection Command Line Utility,4.10.14393.0 (rs1_release.160715-1616),MpCmdRun.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:58:19, {f4ba3e13-6fbb-6a32-c900-000000002400},3728,C:\Program Files\Windows Defender\MpCmdRun.exe,"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" SignatureUpdate -ScheduleJob -RestrictPrivileges -Reinvoke",C:\Windows\system32\,NT AUTHORITY\NETWORK SERVICE,"MD5=C37ADF3801F599EDF3180354BBAB2560,SHA256=1C90A322F55D574EF703B9CB0ADFB379CEFA33A2B5D72F04A6E9AAA2F209F6B5,IMPHASH=5F980D25420E31451E189C1082EF5045", {f4ba3e13-6fbb-6a32-c700-000000002400},1172,C:\Program Files\Windows Defender\MpCmdRun.exe,"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" SignatureUpdate -ScheduleJob -RestrictPrivileges",System,0x3E4, {f4ba3e13-6890-6a32-e403-000000000000},0,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Microsoft Malware Protection Command Line Utility,4.10.14393.0 (rs1_release.160715-1616),MpCmdRun.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:58:19, {f4ba3e13-6fbb-6a32-ca00-000000002400},5020,C:\Program Files\Windows Defender\MpCmdRun.exe,"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" SignaturesUpdateService -ScheduleJob -UnmanagedUpdate",C:\Windows\system32\,NT AUTHORITY\SYSTEM,"MD5=C37ADF3801F599EDF3180354BBAB2560,SHA256=1C90A322F55D574EF703B9CB0ADFB379CEFA33A2B5D72F04A6E9AAA2F209F6B5,IMPHASH=5F980D25420E31451E189C1082EF5045", {f4ba3e13-689c-6a32-2200-000000002400},1180,C:\Program Files\Windows Defender\MsMpEng.exe,"""C:\Program Files\Windows Defender\MsMpEng.exe""",System,0x3E7, {f4ba3e13-6880-6a32-e703-000000000000},0,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Microsoft Malware Protection Command Line Utility,4.10.14393.0 (rs1_release.160715-1616),MpCmdRun.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:58:19, {f4ba3e13-6fbb-6a32-c900-000000002400},3728,C:\Program Files\Windows Defender\MpCmdRun.exe,,,NT AUTHORITY\NETWORK SERVICE,,,,,,,,,,C:\Windows\SERVIC~2\NETWOR~1\AppData\Local\Temp\mpam-20009ac6.exe,2026-06-17 9:58:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXE,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
